ra,dec,mag
219.85113322579573,-60.83159175166849,15.127513
219.84655560133507,-60.837160603372304,17.492828
219.84078077765201,-60.83407555722072,18.384443
219.88909718173196,-60.826144921881536,17.908297
219.88784169575962,-60.83086965264639,18.127546
219.87550657825707,-60.82896984129254,14.614861
219.86978427125797,-60.824625705748375,15.070124
219.88159647424163,-60.82461572082172,17.343979
219.88029089972096,-60.817191704602116,17.132977
219.88681763987827,-60.81795971444638,20.047794
219.86070523662852,-60.85305579267222,18.866018
219.8533491240961,-60.85576051708075,19.70337
219.85528603034152,-60.85548957060189,17.693947
219.85558261577964,-60.85690397848291,19.203524
219.85378654360989,-60.85157336632443,20.325659
219.84541656758793,-60.851134274016246,20.918741
219.84862676156183,-60.85282418239235,18.451757
219.84916528174026,-60.84835168454093,20.334341
219.85546935327878,-60.85338091168843,14.425549
219.85629432272515,-60.85387323543333,18.308147
219.85420211630966,-60.85504932425687,18.508
219.85244119321564,-60.84997714589889,20.299185
219.86179593815328,-60.85343138900519,17.960445
219.85622481741999,-60.84989795304689,17.38141
219.85813646935898,-60.85103990539751,18.47612
219.96366117493562,-60.84356444029921,19.001085
219.95704191882305,-60.8479208575815,17.697847
219.95288749618035,-60.847232983520456,20.980467
219.94830468755362,-60.85062356006925,20.78694
219.95834444690226,-60.84939530562279,18.040443
219.9438550290601,-60.841894043832646,20.702587
219.95147886997407,-60.850499348049034,16.840025
219.9509434262071,-60.84627339159955,20.846779
219.95711317643227,-60.843924302688215,21.158092
219.96942813731403,-60.83214318002833,20.281338
219.95477153955852,-60.83441926065291,18.178907
219.96904705752303,-60.829378800347314,19.18062
219.91161717593275,-60.81353359924024,20.726473
219.94221141394678,-60.83579063147165,19.591616
219.9178106941883,-60.83646931225452,20.53401
219.936792390502,-60.83776834264032,20.657532
219.927183407837,-60.8376932046679,19.807388
219.92678331794633,-60.83836768178879,19.03343
219.92928261378637,-60.840791114361835,19.118435
219.92771055935484,-60.84117359636598,19.375795
219.92615122367258,-60.8390202544787,20.152645
219.92307965120662,-60.840826732632415,19.917137
219.9362821337093,-60.83489059053494,20.351515
219.93456948774713,-60.83492203128136,20.982925
219.93296957363492,-60.83375619965307,20.37317
219.93882177315385,-60.83483461838108,20.078661
219.91835699698495,-60.83247041619002,18.628407
219.92535003320194,-60.827370450433925,18.563948
219.92408718496944,-60.826131701261616,19.513266
219.9226956557457,-60.837083497909745,20.793798
219.93473031348123,-60.83744910876026,20.926428
219.93274074965151,-60.83661621610599,20.476873
