ra,dec,gmag
219.84616295928714,-60.81265726179579,19.874557
219.85388756601355,-60.81625954344738,17.882383
219.8422950705855,-60.812196774433936,20.690062
219.84569464263174,-60.8151050812847,18.202381
219.85304861433772,-60.818515570510236,19.803469
219.83651553457213,-60.81236914966376,19.30106
219.83370774751688,-60.81219743411344,18.979147
219.83434020176304,-60.80109138543889,19.184185
219.82628875524713,-60.79857005814556,20.338354
219.8335030791429,-60.804743271874294,20.755772
219.8391891445953,-60.80915360813621,19.684353
219.83808320470462,-60.80897846539039,18.426123
219.83955440732362,-60.80983314705316,19.631405
219.8419404845394,-60.80740991896875,20.606058
219.82811359095714,-60.80349199693513,20.651323
219.83344184216756,-60.801874386501915,19.75646
219.82154463901162,-60.79961689219501,20.368345
219.8216000072258,-60.799941709147696,19.807434
219.8047017077936,-60.81753489881599,21.147112
219.81700040679613,-60.823104118992234,20.114605
219.80381732488266,-60.81386074082438,20.56998
219.80878503192955,-60.81820859456696,20.234013
219.8037788179182,-60.818833559019616,19.775919
219.8321056500721,-60.82578910123214,18.325062
219.82517663686687,-60.824535742107955,19.662544
219.8257575147774,-60.82372548533091,16.216204
219.8313827464512,-60.82035840238187,18.036602
219.83241069361512,-60.816426940034525,18.06322
219.8261558607863,-60.826675300259744,19.711613
219.83282764895733,-60.82290911683199,18.731508
219.82423952307278,-60.82044459745972,20.540379
219.83011349287207,-60.81861792351229,20.745623
219.82579035576566,-60.82014369195075,21.053524
219.82915274182773,-60.82555717206103,21.026834
219.82213860921365,-60.82216847248547,19.828344
219.82043941137974,-60.824388448560505,20.760733
219.8189637437632,-60.82160767484305,19.382292
219.81778965379465,-60.8162275017827,16.765253
219.8132445765488,-60.81448900780489,16.738234
219.81925047620695,-60.80845680239873,18.853704
219.824499923314,-60.80360315596936,20.107317
219.81375185242905,-60.81559193467475,19.535679
219.82456336846397,-60.802714624498904,18.471315
219.82216804793347,-60.82155782407285,20.091389
219.82199800646265,-60.803579753151745,20.148338
219.82084325657416,-60.80154483127057,21.056458
219.80624314401746,-60.81338772488497,20.545538
219.82406586773044,-60.8070233495665,21.113884
219.8161232689226,-60.82080386240064,17.158964
219.8156009460262,-60.82146326897445,21.19063
219.80525125865478,-60.81398427144194,16.7134
219.8295860149222,-60.808995109724314,17.86702
